Feature_Names,Compartment,Type,Specific,Definition,Map_Method,Structure_Specificity
Count of pixels with luminal distance transform value 29<d<=30,Lumen,Size,Pixel Count: 29-30,Count of luminal pixels with distance transform between 29 and 30. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 30<d<=31,Lumen,Size,Pixel Count: 30-31,Count of luminal pixels with distance transform between 30 and 31. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 31<d<=32,Lumen,Size,Pixel Count: 31-32,Count of luminal pixels with distance transform between 31 and 32. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 32<d<=33,Lumen,Size,Pixel Count: 32-33,Count of luminal pixels with distance transform between 32 and 33. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 33<d<=34,Lumen,Size,Pixel Count: 33-34,Count of luminal pixels with distance transform between 33 and 34. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 34<d<=35,Lumen,Size,Pixel Count: 34-35,Count of luminal pixels with distance transform between 34 and 35. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 35<d<=36,Lumen,Size,Pixel Count: 35-36,Count of luminal pixels with distance transform between 35 and 36. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 36<d<=37,Lumen,Size,Pixel Count: 36-37,Count of luminal pixels with distance transform between 36 and 37. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 37<d<=38,Lumen,Size,Pixel Count: 37-38,Count of luminal pixels with distance transform between 37 and 38. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 38<d<=39,Lumen,Size,Pixel Count: 38-39,Count of luminal pixels with distance transform between 38 and 39. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 39<d<=40,Lumen,Size,Pixel Count: 39-40,Count of luminal pixels with distance transform between 39 and 40. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 40<d<=41,Lumen,Size,Pixel Count: 40-41,Count of luminal pixels with distance transform between 40 and 41. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 41<d<=42,Lumen,Size,Pixel Count: 41-42,Count of luminal pixels with distance transform between 41 and 42. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 42<d<=43,Lumen,Size,Pixel Count: 42-43,Count of luminal pixels with distance transform between 42 and 43. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 43<d<=44,Lumen,Size,Pixel Count: 43-44,Count of luminal pixels with distance transform between 43 and 44. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 44<d<=45,Lumen,Size,Pixel Count: 44-45,Count of luminal pixels with distance transform between 44 and 45. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 45<d<=46,Lumen,Size,Pixel Count: 45-46,Count of luminal pixels with distance transform between 45 and 46. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 46<d<=47,Lumen,Size,Pixel Count: 46-47,Count of luminal pixels with distance transform between 46 and 47. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 47<d<=48,Lumen,Size,Pixel Count: 47-48,Count of luminal pixels with distance transform between 47 and 48. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 48<d<=49,Lumen,Size,Pixel Count: 48-49,Count of luminal pixels with distance transform between 48 and 49. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 49<d<=50,Lumen,Size,Pixel Count: 49-50,Count of luminal pixels with distance transform between 49 and 50. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 50<d<=51,Lumen,Size,Pixel Count: 50-51,Count of luminal pixels with distance transform between 50 and 51. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 51<d<=52,Lumen,Size,Pixel Count: 51-52,Count of luminal pixels with distance transform between 51 and 52. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 52<d<=53,Lumen,Size,Pixel Count: 52-53,Count of luminal pixels with distance transform between 52 and 53. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 53<d<=54,Lumen,Size,Pixel Count: 53-54,Count of luminal pixels with distance transform between 53 and 54. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 54<d<=55,Lumen,Size,Pixel Count: 54-55,Count of luminal pixels with distance transform between 54 and 55. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 55<d<=56,Lumen,Size,Pixel Count: 55-56,Count of luminal pixels with distance transform between 55 and 56. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 56<d<=57,Lumen,Size,Pixel Count: 56-57,Count of luminal pixels with distance transform between 56 and 57. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 57<d<=58,Lumen,Size,Pixel Count: 57-58,Count of luminal pixels with distance transform between 57 and 58. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 58<d<=59,Lumen,Size,Pixel Count: 58-59,Count of luminal pixels with distance transform between 58 and 59. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 59<d<=60,Lumen,Size,Pixel Count: 59-60,Count of luminal pixels with distance transform between 59 and 60. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 60<d<=2000,Lumen,Size,Pixel Count: 60-2000,Count of luminal pixels with distance transform between 60 and 2000. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 1<d<=2,Nuclei,Size,Pixel Count: 1-2,Count of nuclear pixels with distance transform between 1 and 2. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 2<d<=3,Nuclei,Size,Pixel Count: 2-3,Count of nuclear pixels with distance transform between 2 and 3. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 3<d<=4,Nuclei,Size,Pixel Count: 3-4,Count of nuclear pixels with distance transform between 3 and 4. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 4<d<=5,Nuclei,Size,Pixel Count: 4-5,Count of nuclear pixels with distance transform between 4 and 5. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 5<d<=6,Nuclei,Size,Pixel Count: 5-6,Count of nuclear pixels with distance transform between 5 and 6. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 6<d<=7,Nuclei,Size,Pixel Count: 6-7,Count of nuclear pixels with distance transform between 6 and 7. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 7<d<=8,Nuclei,Size,Pixel Count: 7-8,Count of nuclear pixels with distance transform between 7 and 8. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 8<d<=9,Nuclei,Size,Pixel Count: 8-9,Count of nuclear pixles with distance transform between 8 and 9. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 9<d<=10,Nuclei,Size,Pixel Count: 9-10,Count of nuclear pixels with distance transform between 9 and 10. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 10<d<=11,Nuclei,Size,Pixel Count: 10-11,Count of nuclear pixels with distance transform between 10 and 11. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 11<d<=12,Nuclei,Size,Pixel Count: 11-12,Count of nuclear pixels with distance transform between 11 and 12. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 12<d<=13,Nuclei,Size,Pixel Count: 12-13,Count of nuclear pixels with distance transform between 12 and 13. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 13<d<=14,Nuclei,Size,Pixel Count: 13-14,Count of nuclear pixels with distance transform between 13 and 14. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 14<d<=15,Nuclei,Size,Pixel Count: 14-15,Count of nuclear pixels with distance transform between 14 and 15. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 15<d<=16,Nuclei,Size,Pixel Count: 15-16,Count of nuclear pixels with distance transform between 15 and 16. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 16<d<=17,Nuclei,Size,Pixel Count: 16-17,Count of nuclear pixels with distance transform between 16 and 17. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 17<d<=18,Nuclei,Size,Pixel Count: 17-18,Count of nuclear pixels with distance transform between 17 and 18. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 18<d<=19,Nuclei,Size,Pixel Count: 18-19,Count of nuclear pixels with distance transform between 18 and 19. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 19<d<=20,Nuclei,Size,Pixel Count: 19-20,Count of nuclear pixels with distance transform between 19 and 20. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with nuclear distance transform value 20<d<=2000,Nuclei,Size,Pixel Count: 20-2000,Count of nuclear pixels with distance transform between 20 and 2000. The distance transform measures the distance between each nuclear pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 2<d<=27,Global,Size,Pixel Count: 2-27,Count of structure pixels with distance transform between 2 and 27. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 27<d<=52,Global,Size,Pixel Count: 27-52,Count of structure pixels with distance transform between 27 and 52. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 52<d<=77,Global,Size,Pixel Count: 52-77,Count of structure pixels with distance transform between 52 and 77. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 77<d<=102,Global,Size,Pixel Count: 77-102,Count of structure pixels with distance transform between 77 and 102. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 102<d<=127,Global,Size,Pixel Count: 102-127,Count of structure pixels with distance transform between 102 and 127. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 127<d<=152,Global,Size,Pixel Count: 127-152,Count of structure pixels with distance transform between 127 and 152. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 152<d<=177,Global,Size,Pixel Count: 152-177,Count of structure pixels with distance transform between 152 and 177. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 177<d<=202,Global,Size,Pixel Count: 177-202,Count of structure pixels with distance transform between 177 and 202. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 202<d<=227,Global,Size,Pixel Count: 202-227,Count of structure pixels with distance transform between 202 and 227. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 227<d<=252,Global,Size,Pixel Count: 227-252,Count of structure pixels with distance transform between 227 and 252. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 252<d<=277,Global,Size,Pixel Count: 252-277,Count of structure pixels with distance transform between 252 and 277. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 277<d<=302,Global,Size,Pixel Count: 277-302,Count of structure pixels with distance transform between 277 and 302. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 302<d<=327,Global,Size,Pixel Count: 302-327,Count of structure pixels with distance transform between 302 and 327. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 327<d<=352,Global,Size,Pixel Count: 327-352,Count of structure pixels with distance transform between 327 and 352. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 352<d<=377,Global,Size,Pixel Count: 352-377,Count of structure pixels with distance transform between 352 and 377. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 377<d<=402,Global,Size,Pixel Count: 377-402,Count of structure pixels with distance transform between 377 and 402. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 402<d<=427,Global,Size,Pixel Count: 402-427,Count of structure pixels with distance transform between 402 and 427. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 427<d<=452,Global,Size,Pixel Count: 427-452,Count of structure pixels with distance transform between 427 and 452. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 452<d<=477,Global,Size,Pixel Count: 452-477,Count of structure pixels with distance transform between 452 and 477. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 477<d<=502,Global,Size,Pixel Count: 477-502,Count of structure pixels with distance transform between 477 and 502. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 502<d<=527,Global,Size,Pixel Count: 502-527,Count of structure pixels with distance transform between 502 and 527. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 527<d<=552,Global,Size,Pixel Count: 527-552,Count of structure pixels with distance transform between 527 and 552. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 552<d<=577,Global,Size,Pixel Count: 552-577,Count of structure pixels with distance transform between 552 and 577. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with structure distance transform value 577<d<=20000,Global,Size,Pixel Count: 577-20000,Count of structure pixels with distance transform between 577 and 20000. The distance transform measures the distance between each internal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Mean of red values in PAS+ regions,PAS+,Color,Mean Red,Mean red channel intensity in PAS+ regions.,Similarity Map,Non_Structure_Specific
Mean of green values in PAS+ regions,PAS+,Color,Mean Green,Mean green channel intensity in PAS+ regions.,Similarity Map,Non_Structure_Specific
Mean of blue values in PAS+ regions,PAS+,Color,Mean Blue,Mean blue channel intensity in PAS+ regions.,Similarity Map,Non_Structure_Specific
Std of red values in PAS+ regions,PAS+,Color,Std Dev Red,Standard deviation red channel intensity in PAS+ regions.,Deviation Map,Non_Structure_Specific
Std of green values in PAS+ regions,PAS+,Color,Std Dev Green,Standard deviation green channel intensity in PAS+ regions.,Deviation Map,Non_Structure_Specific
Std of blue values in PAS+ regions,PAS+,Color,Std Dev Blue,Standard deviation blue channel intensity in PAS+ regions.,Deviation Map,Non_Structure_Specific
Mean of red values in luminal regions,Lumen,Color,Mean Red,Mean red channel intensity in luminal space.,Similarity Map,Non_Structure_Specific
Mean of green values in luminal regions,Lumen,Color,Mean Green,Mean green channel intensity in luminal space.,Similarity Map,Non_Structure_Specific
Mean of blue values in luminal regions,Lumen,Color,Mean Blue,Mean blue channel intensity in luminal space.,Similarity Map,Non_Structure_Specific
Std of red values in luminal regions,Lumen,Color,Std Dev Red,Standard deviation red channel intensity in luminal space.,Deviation Map,Non_Structure_Specific
Std of green values in luminal regions,Lumen,Color,Std Dev Green,Standard deviation green channel intensity in luminal space.,Deviation Map,Non_Structure_Specific
Std of blue values in luminal regions,Lumen,Color,Std Dev Blue,Standard deviation blue channel intensity in luminal space.,Deviation Map,Non_Structure_Specific
Mean of red values in nuclear regions,Nuclei,Color,Mean Red,Mean red channel intensity in nuclei.,Similarity Map,Non_Structure_Specific
Mean of green values in nuclear regions,Nuclei,Color,Mean Green,Mean green channel intensity in nuclei.,Similarity Map,Non_Structure_Specific
Mean of blue values in nuclear regions,Nuclei,Color,Mean Blue,Mean blue channel intensity in nuclei.,Similarity Map,Non_Structure_Specific
Std of red values in nuclear regions,Nuclei,Color,Std Dev Red,Standard deviation red channel intensity in nuclei.,Deviation Map,Non_Structure_Specific
Std of green values in nuclear regions,Nuclei,Color,Std Dev Green,Standard deviation green channel intensity in nuclei.,Deviation Map,Non_Structure_Specific
Std of blue values in nuclear regions,Nuclei,Color,Std Dev Blue,Standard deviation blue channel intensity in nuclei.,Deviation Map,Non_Structure_Specific
Number nuclear pixels contained radius 0<r<100,Nuclei,Radial,Pixel Number Rad: 0-100,Number of nuclear pixels located between 0 and 100 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 100<r<200,Nuclei,Radial,Pixel Number Rad: 100-200,Number of nuclear pixels located between 100 and 200 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 200<r<300,Nuclei,Radial,Pixel Number Rad: 200-300,Number of nuclear pixels located between 200 and 300 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 300<r<400,Nuclei,Radial,Pixel Number Rad: 300-400,Number of nuclear pixels located between 300 and 400 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 400<r<500,Nuclei,Radial,Pixel Number Rad: 400-500,Number of nuclear pixels located between 400 and 500 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 500<r<600,Nuclei,Radial,Pixel Number Rad: 500-600,Number of nuclear pixels located between 500 and 600 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 600<r<700,Nuclei,Radial,Pixel Number Rad: 600-700,Number of nuclear pixels located between 600 and 700 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 700<r<800,Nuclei,Radial,Pixel Number Rad: 700-800,Number of nuclear pixels located between 700 and 800 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 800<r<900,Nuclei,Radial,Pixel Number Rad: 800-900,Number of nuclear pixels located between 800 and 900 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 900<r<1000,Nuclei,Radial,Pixel Number Rad: 900-1000,Number of nuclear pixels located between 900 and 1000 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number nuclear pixels contained radius 1000<r<1300,Nuclei,Radial,Pixel Number Rad: 1000-1300,Number of nuclear pixels located between 1000 and 1300 pixel distance from glomerular center.,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 0<r<100,Lumen,Radial,Pixel Number Rad: 0-100,Number of luminal pixels located between 0 and 100 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 100<r<200,Lumen,Radial,Pixel Number Rad: 100-200,Number of luminal pixels located between 100 and 200 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 200<r<300,Lumen,Radial,Pixel Number Rad: 200-300,Number of luminal pixels located between 200 and 300 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 300<r<400,Lumen,Radial,Pixel Number Rad: 300-400,Number of luminal pixels located between 300 and 400 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 400<r<500,Lumen,Radial,Pixel Number Rad: 400-500,Number of luminal pixels located between 400 and 500 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 500<r<600,Lumen,Radial,Pixel Number Rad: 500-600,Number of luminal pixels located between 500 and 600 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 600<r<700,Lumen,Radial,Pixel Number Rad: 600-700,Number of luminal pixels located between 600 and 700 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 700<r<800,Lumen,Radial,Pixel Number Rad: 700-800,Number of luminal pixels located between 700 and 800 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 800<r<900,Lumen,Radial,Pixel Number Rad: 800-900,Number of luminal pixels located between 800 and 900 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 900<r<1000,Lumen,Radial,Pixel Number Rad: 900-1000,Number of luminal pixels located between 900 and 1000 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number luminal pixels contained radius 1000<r<1300,Lumen,Radial,Pixel Number Rad: 1000-1300,Number of luminal pixels located between 1000 and 1300 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 0<r<100,PAS+,Radial,Pixel Number Rad: 0-100,Number of PAS+ pixels located between 0 and 100 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 100<r<200,PAS+,Radial,Pixel Number Rad: 100-200,Number of PAS+ pixels located between 100 and 200 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 200<r<300,PAS+,Radial,Pixel Number Rad: 200-300,Number of PAS+ pixels located between 200 and 300 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 300<r<400,PAS+,Radial,Pixel Number Rad: 300-400,Number of PAS+ pixels located between 300 and 400 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 400<r<500,PAS+,Radial,Pixel Number Rad: 400-500,Number of PAS+ pixels located between 400 and 500 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 500<r<600,PAS+,Radial,Pixel Number Rad: 500-600,Number of PAS+ pixels located between 500 and 600 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 600<r<700,PAS+,Radial,Pixel Number Rad: 600-700,Number of PAS+ pixels located between 600 and 700 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 700<r<800,PAS+,Radial,Pixel Number Rad: 700-800,Number of PAS+ pixels located between 700 and 800 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 800<r<900,PAS+,Radial,Pixel Number Rad: 800-900,Number of PAS+ pixels located between 800 and 900 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 900<r<1000,PAS+,Radial,Pixel Number Rad: 900-1000,Number of PAS+ pixels located between 900 and 1000 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number PAS+ pixels contained radius 1000<r<1300,PAS+,Radial,Pixel Number Rad: 1000-1300,Number of PAS+ pixels located between 1000 and 1300 pixel distance from glomerular center,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -180<<-162,Nuclei,Radial,Pixel Number Theta: -180--162,Number of nuclear pixels located between -180 and -162 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -162<<-144,Nuclei,Radial,Pixel Number Theta: -162--144,Number of nuclear pixels located between -162 and -144 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -144<<-126,Nuclei,Radial,Pixel Number Theta: -144--126,Number of nuclear pixels located between -144 and -126 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -126<<-108,Nuclei,Radial,Pixel Number Theta: -126--108,Number of nuclear pixels located between -126 and -108 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -108<<-90,Nuclei,Radial,Pixel Number Theta: -108--90,Number of nuclear pixels located between -108 and -90 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -90<<-72,Nuclei,Radial,Pixel Number Theta: -90--72,Number of nuclear pixels located between -90 and -72 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -72<<-54,Nuclei,Radial,Pixel Number Theta: -72--54,Number of nuclear pixels located between -72 and -54 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -54<<-36,Nuclei,Radial,Pixel Number Theta: -54--36,Number of nuclear pixels located between -54 and -36 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -36<<-18,Nuclei,Radial,Pixel Number Theta: -36--18,Number of nuclear pixels located between -36 and -18 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta -18<<0,Nuclei,Radial,Pixel Number Theta: -18-0,Number of nuclear pixels located between -18 and -0 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 0<<18,Nuclei,Radial,Pixel Number Theta: 0-18,Number of nuclear pixels located between 0 and 18 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 18<<36,Nuclei,Radial,Pixel Number Theta: 18-36,Number of nuclear pixels located between 18 and 36 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 36<<54,Nuclei,Radial,Pixel Number Theta: 36-54,Number of nuclear pixels located between 36 and 54 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 54<<72,Nuclei,Radial,Pixel Number Theta: 54-72,Number of nuclear pixels located between 54 and 72 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 72<<90,Nuclei,Radial,Pixel Number Theta: 72-90,Number of nuclear pixels located between 72 and 90 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 90<<108,Nuclei,Radial,Pixel Number Theta: 90-108,Number of nuclear pixels located between 90 and 108 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 108<<126,Nuclei,Radial,Pixel Number Theta: 108-126,Number of nuclear pixels located between 108 and 126 degree,Region Specific Map,Glom_Specific
